zone,path,desired_owner,current_owner,status,notes
Brand name,ui/src/login.tsx,LoginPageMessages,,keep,"Nom de marque Medatarun affiche dans le login; a priori non traduit."
Brand name and logo alt,ui/src/components/layout/layout.tsx,LayoutMessages,,keep,"applicationName et alt du logo contiennent Medatarun; a priori non traduit."
Unauthorized dialog,ui/src/components/auth/UnauthorizedHandler.tsx,SessionMessages,SessionMessages,done,"Trois messages deja localises."
Layout navigation,ui/src/components/layout/layout.tsx,LayoutMessages,LayoutMessages,done,"Labels Home, Models, Commands, Reports, Tag groups, Preferences."
Layout loading error,ui/src/components/layout/layout.tsx,LayoutMessages,LayoutMessages,done,"Message 'Sorry, we could not load this page.'."
Global error fallback,ui/src/components/layout/ErrorBoundary.tsx,ErrorBoundaryMessages,ErrorBoundaryMessages,done,"Message 'An error occurred.'."
Dashboard page,ui/src/views/DashboardPage.tsx,DashboardPageMessages,,todo,"Eyebrow, title, actions, placeholder."
Preferences page,ui/src/views/PreferencesPage.tsx,PreferencesPageMessages,,todo,"Title, actions, current mode sentence, mode description, switch labels."
Models page,ui/src/views/ModelsPage.tsx,ModelsPageMessages,,todo,"Page title, actions, empty state."
Model page,ui/src/views/ModelPage.tsx,ModelPageMessages,ModelPageMessages,done,"Page owner deja traduit avec contrat dedie."
Entity page,ui/src/views/entity/EntityPage.tsx,EntityPageMessages,EntityPageMessages,done,"Page owner deja traduit avec contrat dedie."
Login page,ui/src/login.tsx,LoginPageMessages,LoginPageMessages,done,"Username, password, submit button deja traduits avec contrat dedie."
Entity overview,ui/src/views/entity/EntityOverview.tsx,EntityOverviewMessages,,todo,"Labels Entity key, From model, External link, Tags, Origin, Identifier, plus messages vides."
Attribute page header,ui/src/views/attribute/AttributePage.tsx,AttributePageMessages,,todo,"Eyebrow, action button label, description placeholder."
Attribute page overview,ui/src/views/attribute/AttributePage.tsx,AttributePageMessages,,todo,"Labels Attribute code, From model, Tags, Type, Required, required state texts, identifier badge text, empty tags."
Attribute page displayed errors,ui/src/views/attribute/AttributePage.tsx,AttributePageMessages,,todo,"Messages ErrorBox 'Can not find ...' affiches a l'utilisateur."
Relationship page header,ui/src/views/relationship/RelationshipPage.tsx,RelationshipPageMessages,,todo,"Eyebrow, action button label, description placeholder."
Relationship page sections,ui/src/views/relationship/RelationshipPage.tsx,RelationshipPageMessages,,todo,"Roles, Attributes, empty attributes message."
Relationship page overview,ui/src/views/relationship/RelationshipPage.tsx,RelationshipPageMessages,,todo,"Labels Relationship key, From model, Tags, Relationship id, empty tags."
Relationship page role cardinality,ui/src/views/relationship/RelationshipPage.tsx,RelationshipPageMessages,,todo,"Strings maybe one, many, one, unknown number of."
Relationship page displayed errors,ui/src/views/relationship/RelationshipPage.tsx,RelationshipPageMessages,,todo,"ErrorBox 'Relationship not found'."
Relationship description component,ui/src/components/business/model/RelationshipDescription.tsx,RelationshipDescriptionMessages,,todo,"Descriptions generees pour cardinalites et relation n-aire."
Type page header,ui/src/views/type/TypePage.tsx,TypePageMessages,,todo,"Eyebrow Data type, action button label, description placeholder."
Type page overview,ui/src/views/type/TypePage.tsx,TypePageMessages,,todo,"Labels Type key, From model, Type Id."
Type page displayed errors,ui/src/views/type/TypePage.tsx,TypePageMessages,,todo,"ErrorBox 'Type not found'."
Commands page shell,ui/src/views/CommandsPage.tsx,CommandsPageMessages,,todo,"Page title and eyebrow."
Commands page form labels,ui/src/views/CommandsPage.tsx,CommandsPageMessages,,todo,"Group, Action, Payload labels; placeholders for action group, action, payload."
Commands page buttons and states,ui/src/views/CommandsPage.tsx,CommandsPageMessages,,todo,"Submit, Clear, empty state 'Aucune action selectionnee'."
Commands page validation errors,ui/src/views/CommandsPage.tsx,CommandsPageMessages,,todo,"'Select a resource and an action.', 'Invalid payload', 'unknown error'."
Reports page main,ui/src/views/reports/ReportsPage.tsx,ReportsPageMessages,,todo,"Page title, Show results, Download CSV, Add condition, Remove."
Reports page empty states,ui/src/views/reports/ReportsPage.tsx,ReportsPageMessages,,todo,"Add at least one filter to search, No results."
Reports page operators and filter types,ui/src/views/reports/ReportsPage.tsx,ReportsPageMessages,,todo,"AND, OR, Tags, Text contains, aria labels."
Reports tag filter row,ui/src/views/reports/components/FilterTagRowEditor.tsx,FilterTagRowEditorMessages,,todo,"Tag filter condition aria label and condition labels."
Reports tag picker,ui/src/views/reports/components/FilterTagPicker.tsx,FilterTagPickerMessages,,todo,"Selected tags, Search tags, No matching tags."
Reports text filter row,ui/src/views/reports/components/FilterTextRowEditor.tsx,FilterTextRowEditorMessages,,todo,"Text contains value aria-label and placeholder."
Reports CSV export,ui/src/views/reports/ReportsPage.csvexport.tsx,ReportsCsvExportMessages,,todo,"Filename, column headers, object type labels, unknown."
Tag groups page,ui/src/views/tags/TagGroupsPage.tsx,TagGroupsPageMessages,,todo,"Eyebrow Global tags, title Tag groups, action button label, descriptive text, section title."
Tag group edit page,ui/src/views/tags/TagGroupEdit.tsx,TagGroupEditMessages,,todo,"Breadcrumb Tag groups, eyebrow Global tag group, action button label, description placeholder, section title Tags."
